DomainKey,DomainZh,SourceDirectory,SourceFile,LegacySourceFile,EnglishSourceFile,LegacyEnglishSourceFile,Title,ArticleTitleZh,ArticleTitleEn,DisplayOrder,DisplayTitleZh,DisplayTitleEn,OriginalOrder,GuidePosition,GuideOrder,StageOrder,StageKey,StageZh,Level,Language,TranslationKey,CurrentURL,CurrentPathDecoded,CurrentSlug,EnglishPath,URLPolicy,MigrationStatus,Notes
spacetime,時空篇,concept,concept/第一性原理的經典萃取.md,concept/01-第一性原理的經典萃取.md,en/concept/第一性原理的經典萃取_英文.md,en/concept/01-第一性原理的經典萃取_英文.md,第一性原理的經典萃取,第一性原理的經典萃取,Extracting First Principles from the Classics,01,01 第一性原理的經典萃取,01 Extracting First Principles from the Classics,1,1,10,10,methodology,方法論,foundation,zh,spacetime-001,https://cosmosorder.org/concept/01-%E7%AC%AC%E4%B8%80%E6%80%A7%E5%8E%9F%E7%90%86%E7%9A%84%E7%B6%93%E5%85%B8%E8%90%83%E5%8F%96,/concept/01-第一性原理的經典萃取,01-第一性原理的經典萃取,/en/concept/01-第一性原理的經典萃取/,preserve,clean-filename-title-complete,Physical filename/title cleaned; public URL preserved by slug; display order follows GuidePosition.
spacetime,時空篇,concept,concept/以簡馭繁的模型化原則.md,concept/02-以簡馭繁的模型化原則.md,en/concept/以簡馭繁的模型化原則_英文.md,en/concept/02-以簡馭繁的模型化原則_英文.md,以簡馭繁的模型化原則,以簡馭繁的模型化原則,The Modeling Principle of Governing Complexity with Simplicity,02,02 以簡馭繁的模型化原則,02 The Modeling Principle of Governing Complexity with Simplicity,2,2,20,10,methodology,方法論,foundation,zh,spacetime-002,https://cosmosorder.org/concept/02-%E4%BB%A5%E7%B0%A1%E9%A6%AD%E7%B9%81%E7%9A%84%E6%A8%A1%E5%9E%8B%E5%8C%96%E5%8E%9F%E5%89%87,/concept/02-以簡馭繁的模型化原則,02-以簡馭繁的模型化原則,/en/concept/02-以簡馭繁的模型化原則/,preserve,clean-filename-title-complete,Physical filename/title cleaned; public URL preserved by slug; display order follows GuidePosition.
spacetime,時空篇,concept,concept/奧卡姆剃刀法則的有效性.md,concept/06-奧卡姆剃刀法則的有效性.md,en/concept/奧卡姆剃刀法則的有效性_英文.md,en/concept/06-奧卡姆剃刀法則的有效性_英文.md,奧卡姆剃刀法則的有效性,奧卡姆剃刀法則的有效性,The Validity of Occam's Razor,03,03 奧卡姆剃刀法則的有效性,03 The Validity of Occam's Razor,6,3,30,10,methodology,方法論,foundation,zh,spacetime-006,https://cosmosorder.org/concept/06-%E5%A5%A7%E5%8D%A1%E5%A7%86%E5%89%83%E5%88%80%E6%B3%95%E5%89%87%E7%9A%84%E6%9C%89%E6%95%88%E6%80%A7,/concept/06-奧卡姆剃刀法則的有效性,06-奧卡姆剃刀法則的有效性,/en/concept/06-奧卡姆剃刀法則的有效性/,preserve,clean-filename-title-complete,Physical filename/title cleaned; public URL preserved by slug; display order follows GuidePosition.
spacetime,時空篇,concept,concept/以外揣內與不可見本質的驗證.md,concept/09-以外揣內與不可見本質的驗證.md,en/concept/以外揣內與不可見本質的驗證_英文.md,en/concept/09-以外揣內與不可見本質的驗證_英文.md,以外揣內與不可見本質的驗證,以外揣內與不可見本質的驗證,Inferring the Interior from the Exterior and Testing the Invisible,04,04 以外揣內與不可見本質的驗證,04 Inferring the Interior from the Exterior and Testing the Invisible,9,4,40,10,methodology,方法論,foundation,zh,spacetime-009,https://cosmosorder.org/concept/09-%E4%BB%A5%E5%A4%96%E6%8F%A3%E5%85%A7%E8%88%87%E4%B8%8D%E5%8F%AF%E8%A6%8B%E6%9C%AC%E8%B3%AA%E7%9A%84%E9%A9%97%E8%AD%89,/concept/09-以外揣內與不可見本質的驗證,09-以外揣內與不可見本質的驗證,/en/concept/09-以外揣內與不可見本質的驗證/,preserve,clean-filename-title-complete,Physical filename/title cleaned; public URL preserved by slug; display order follows GuidePosition.
spacetime,時空篇,concept,concept/正確歷法的時間刻度規律.md,concept/10-正確歷法的時間刻度規律.md,en/concept/正確歷法的時間刻度規律_英文.md,en/concept/10-正確歷法的時間刻度規律_英文.md,正確歷法的時間刻度規律,正確歷法的時間刻度規律,Correct Calendars and the Law of Temporal Scales,05,05 正確歷法的時間刻度規律,05 Correct Calendars and the Law of Temporal Scales,10,5,50,10,methodology,方法論,foundation,zh,spacetime-010,https://cosmosorder.org/concept/10-%E6%AD%A3%E7%A2%BA%E6%AD%B7%E6%B3%95%E7%9A%84%E6%99%82%E9%96%93%E5%88%BB%E5%BA%A6%E8%A6%8F%E5%BE%8B,/concept/10-正確歷法的時間刻度規律,10-正確歷法的時間刻度規律,/en/concept/10-正確歷法的時間刻度規律/,preserve,clean-filename-title-complete,Physical filename/title cleaned; public URL preserved by slug; display order follows GuidePosition.
spacetime,時空篇,concept,concept/符號化能量共振原則.md,concept/03-符號化能量共振原則.md,en/concept/符號化能量共振原則_英文.md,en/concept/03-符號化能量共振原則_英文.md,符號化能量共振原則,符號化能量共振原則,The Principle of Symbolic Energy Resonance,06,06 符號化能量共振原則,06 The Principle of Symbolic Energy Resonance,3,6,60,10,methodology,方法論,foundation,zh,spacetime-003,https://cosmosorder.org/concept/03-%E7%AC%A6%E8%99%9F%E5%8C%96%E8%83%BD%E9%87%8F%E5%85%B1%E6%8C%AF%E5%8E%9F%E5%89%87,/concept/03-符號化能量共振原則,03-符號化能量共振原則,/en/concept/03-符號化能量共振原則/,preserve,clean-filename-title-complete,Physical filename/title cleaned; public URL preserved by slug; display order follows GuidePosition.
spacetime,時空篇,concept,concept/全息規律的世界映射.md,concept/04-全息規律的世界映射.md,en/concept/全息規律的世界映射_英文.md,en/concept/04-全息規律的世界映射_英文.md,時間全息規律的世界映射,時間全息規律的世界映射,Temporal Holography and the Mapping of the World,07,07 時間全息規律的世界映射,07 Temporal Holography and the Mapping of the World,4,7,70,10,methodology,方法論,foundation,zh,spacetime-004,https://cosmosorder.org/concept/04-%E5%85%A8%E6%81%AF%E8%A6%8F%E5%BE%8B%E7%9A%84%E4%B8%96%E7%95%8C%E6%98%A0%E5%B0%84,/concept/04-全息規律的世界映射,04-全息規律的世界映射,/en/concept/04-全息規律的世界映射/,preserve,clean-filename-title-complete,Physical filename/title cleaned; public URL preserved by slug; display order follows GuidePosition.
spacetime,時空篇,concept,concept/空間全息映射規律.md,concept/05-空間全息映射規律.md,en/concept/空間全息映射規律_英文.md,en/concept/05-空間全息映射規律_英文.md,空間全息映射規律,空間全息映射規律,The Law of Spatial Holographic Mapping,08,08 空間全息映射規律,08 The Law of Spatial Holographic Mapping,5,8,80,10,methodology,方法論,foundation,zh,spacetime-005,https://cosmosorder.org/concept/05-%E7%A9%BA%E9%96%93%E5%85%A8%E6%81%AF%E6%98%A0%E5%B0%84%E8%A6%8F%E5%BE%8B,/concept/05-空間全息映射規律,05-空間全息映射規律,/en/concept/05-空間全息映射規律/,preserve,clean-filename-title-complete,Physical filename/title cleaned; public URL preserved by slug; display order follows GuidePosition.
spacetime,時空篇,concept,concept/常變原則的擬合規律.md,concept/08-常變原則的擬合規律.md,en/concept/常變原則的擬合規律_英文.md,en/concept/08-常變原則的擬合規律_英文.md,常變原則的擬合規律,常變原則的擬合規律,Fitting the Principle of Constancy and Change,09,09 常變原則的擬合規律,09 Fitting the Principle of Constancy and Change,8,9,90,10,methodology,方法論,foundation,zh,spacetime-008,https://cosmosorder.org/concept/08-%E5%B8%B8%E8%AE%8A%E5%8E%9F%E5%89%87%E7%9A%84%E6%93%AC%E5%90%88%E8%A6%8F%E5%BE%8B,/concept/08-常變原則的擬合規律,08-常變原則的擬合規律,/en/concept/08-常變原則的擬合規律/,preserve,clean-filename-title-complete,Physical filename/title cleaned; public URL preserved by slug; display order follows GuidePosition.
spacetime,時空篇,concept,concept/跨尺度技術搭配原則.md,concept/07-跨尺度技術搭配原則.md,en/concept/跨尺度技術搭配原則_英文.md,en/concept/07-跨尺度技術搭配原則_英文.md,跨尺度技術搭配原則,跨尺度技術搭配原則,The Principle of Cross-Scale Model Integration,10,10 跨尺度技術搭配原則,10 The Principle of Cross-Scale Model Integration,7,10,100,10,methodology,方法論,foundation,zh,spacetime-007,https://cosmosorder.org/concept/07-%E8%B7%A8%E5%B0%BA%E5%BA%A6%E6%8A%80%E8%A1%93%E6%90%AD%E9%85%8D%E5%8E%9F%E5%89%87,/concept/07-跨尺度技術搭配原則,07-跨尺度技術搭配原則,/en/concept/07-跨尺度技術搭配原則/,preserve,clean-filename-title-complete,Physical filename/title cleaned; public URL preserved by slug; display order follows GuidePosition.
spacetime,時空篇,concept,concept/年尺度陰陽時間模型.md,concept/11-年尺度陰陽時間模型.md,en/concept/年尺度陰陽時間模型_英文.md,en/concept/11-年尺度陰陽時間模型_英文.md,年尺度陰陽時間模型,年尺度陰陽時間模型,Annual Yin-Yang Time Model,11,11 年尺度陰陽時間模型,11 Annual Yin-Yang Time Model,11,11,110,20,yin-yang,陰陽,foundation,zh,spacetime-011,https://cosmosorder.org/concept/11-%E5%B9%B4%E5%B0%BA%E5%BA%A6%E9%99%B0%E9%99%BD%E6%99%82%E9%96%93%E6%A8%A1%E5%9E%8B,/concept/11-年尺度陰陽時間模型,11-年尺度陰陽時間模型,/en/concept/11-年尺度陰陽時間模型/,preserve,clean-filename-title-complete,Physical filename/title cleaned; public URL preserved by slug; display order follows GuidePosition.
